time,open,high,low,close,EMA,EMA,Volume
1736298000,2650.645,2650.965,2648.2,2648.925,2650.179905628647,2650.392480762468,2699
1736298300,2648.905,2649.895,2648.505,2649.425,2650.1112778442243,2650.1989846099746,2459
1736298600,2649.415,2649.895,2648.605,2648.965,2650.0070707674768,2649.95218768798,1838
1736298900,2649.025,2649.225,2648.025,2648.215,2649.844155243161,2649.604750150384,1712
1736299200,2648.225,2648.785,2647.725,2648.08,2649.6837774937826,2649.2998001203073,1270
1736299500,2648.085,2649.14,2647.825,2648.275,2649.5557068125295,2649.0948400962457,1163
1736299800,2648.3,2648.915,2647.75,2648.54,2649.4633698295725,2648.9838720769967,1294
1736300100,2648.605,2648.825,2647.62,2648.37,2649.3639725723388,2648.8610976615973,1077
1736300400,2648.38,2649.795,2647.21,2648.835,2649.3158841566715,2648.8558781292777,1966
1736300700,2648.85,2648.85,2647.83,2647.845,2649.182167415156,2648.653702503422,1179
1736301000,2647.86,2648.76,2647.775,2648.195,2649.092424922869,2648.561962002738,1051
1736301300,2648.18,2648.97,2648.12,2648.865,2649.071749929881,2648.62256960219,1368
1736301600,2648.86,2648.875,2647.16,2648.115,2648.9847726635285,2648.521055681752,1331
1736301900,2648.105,2648.545,2647.68,2647.845,2648.881156966844,2648.3858445454016,1086
1736302200,2647.865,2648.61,2647.445,2648.49,2648.8455972425854,2648.4066756363213,1244
1736302500,2648.515,2648.605,2647.91,2648.025,2648.7709974932595,2648.330340509057,862
1736302800,2648.03,2648.19,2647.65,2647.665,2648.6704522665996,2648.1972724072457,641
1736303100,2647.68,2647.915,2647.315,2647.505,2648.5645020605452,2648.0588179257966,655
1736303400,2647.48,2647.48,2646,2646.435,2648.3709109641322,2647.734054340637,1764
1736303700,2646.42,2647.87,2646.215,2646.82,2648.229919058302,2647.5512434725097,1107
1736304000,2646.8,2648.675,2646.74,2648.445,2648.2494718711837,2647.729994778008,1213
1736304300,2648.44,2649.405,2648.42,2649.065,2648.323610791985,2647.9969958224065,1213
1736304600,2649.05,2650.385,2648.7,2649.82,2648.459646174532,2648.361596657925,1444
1736304900,2649.825,2649.835,2648.89,2648.915,2648.5010419768473,2648.47227732634,944
1736305200,2648.845,2648.845,2648.22,2648.29,2648.4818563425883,2648.4358218610723,895
1736305500,2648.305,2648.875,2648.02,2648.245,2648.4603239478074,2648.397657488858,794
1736305800,2648.24,2648.26,2646.855,2647.21,2648.3466581343705,2648.1601259910863,561
1736306100,2647.2,2647.995,2646.72,2647.665,2648.284689213064,2648.061100792869,962
1736306400,2647.68,2647.8,2646.775,2647.685,2648.2301720118767,2647.9858806342954,1142
1736306700,2647.695,2647.905,2646.845,2646.97,2648.115610919888,2647.7827045074364,1320
1736307000,2646.955,2647.855,2646.805,2646.855,2648.001009927171,2647.597163605949,788
1736307300,2646.85,2647.045,2646.485,2646.645,2647.877736297428,2647.4067308847593,629
1736307600,2646.67,2646.67,2645.7,2646.63,2647.7643057249343,2647.2513847078076,695
1736307900,2646.635,2647.465,2646.625,2647.06,2647.7002779317586,2647.213107766246,622
1736308200,2647.08,2647.35,2646.885,2646.995,2647.6361617561442,2647.169486212997,501
1736308500,2646.97,2647.445,2646.85,2646.875,2647.5669652328584,2647.1105889703977,1046
1736308800,2646.86,2647.42,2646.72,2647.395,2647.5513320298714,2647.167471176318,761
1736309100,2647.285,2647.965,2647.26,2647.785,2647.5725745726104,2647.2909769410544,479
1736309400,2647.76,2648.79,2647.75,2648.105,2647.6209768841914,2647.4537815528433,900
1736309700,2648.21,2648.21,2647.35,2647.355,2647.5967971674468,2647.434025242275,468
1736310000,2647.325,2647.51,2646.99,2647.105,2647.5520883340423,2647.36822019382,493
1736310300,2647.085,2647.675,2647.075,2647.675,2647.5632621218565,2647.429576155056,456
1736310600,2647.705,2647.81,2647.36,2647.435,2647.5516019289603,2647.430660924045,387
1736310900,2647.42,2647.46,2646.765,2646.935,2647.4955472081456,2647.3315287392356,542
1736311200,2646.92,2646.93,2646.055,2646.095,2647.368224734678,2647.0842229913883,934
1736311500,2646.09,2646.6,2646.015,2646.335,2647.2742952133435,2646.934378393111,978
1736311800,2646.33,2646.405,2645.37,2645.855,2647.145268375767,2646.7185027144887,829
1736312100,2645.875,2647.1,2645.68,2647.095,2647.1406985234244,2646.793802171591,589
1736312400,2647.1,2647.39,2646.925,2647.015,2647.129271384931,2646.8380417372728,488
1736312700,2647,2647.525,2646.765,2647.155,2647.1316103499375,2646.901433389818,533
1736313000,2647.13,2647.435,2647.06,2647.135,2647.1319184999434,2646.9481467118544,442
1736313300,2647.15,2648.235,2647.035,2648.125,2647.222198636312,2647.1835173694835,718
1736313600,2648.055,2649.34,2647.93,2649.29,2647.4101805784653,2647.6048138955866,1016
1736313900,2649.325,2650.02,2649.095,2649.16,2647.569255071332,2647.915851116469,903
1736314200,2649.17,2650.415,2649.135,2649.625,2647.7561409739383,2648.2576808931753,2068
1736314500,2649.655,2650.195,2648.975,2649.76,2647.9383099763077,2648.5581447145405,1400
1736314800,2649.76,2650.175,2649.22,2649.515,2648.081645433007,2648.7495157716326,813
1736315100,2649.58,2650.685,2649.215,2649.65,2648.2242231209157,2648.9296126173062,1101
1736315400,2649.655,2650.595,2649.63,2649.955,2648.38156647356,2649.134690093845,760
1736315700,2650.02,2650.77,2649.87,2650.055,2648.5336967941453,2649.318752075076,1222
1736316000,2650.025,2650.19,2649.015,2649.475,2648.6192698128593,2649.350001660061,1364
1736316300,2649.47,2649.875,2649.01,2649.47,2648.6966089207813,2649.374001328049,986
1736316600,2649.48,2651.48,2649.35,2651.145,2648.919189927983,2649.728201062439,1314
1736316900,2651.15,2652.1,2650.745,2651.81,2649.181990843621,2650.144560849951,747
1736317200,2651.815,2652.225,2651.535,2651.815,2649.4213553123827,2650.4786486799608,898
1736317500,2651.805,2652.715,2651.615,2651.82,2649.639413920348,2650.7469189439685,1078
1736317800,2651.83,2651.935,2650.635,2650.89,2649.7531035639527,2650.7755351551746,1309
1736318100,2650.865,2651.835,2650.635,2651.67,2649.927366876321,2650.9544281241397,1128
1736318400,2651.665,2652.535,2651.55,2652.01,2650.1166971602916,2651.165542499312,985
1736318700,2652.015,2652.52,2651.585,2652.005,2650.2883610548106,2651.3334339994494,1379
1736319000,2652.02,2653.145,2651.935,2652.46,2650.4857827771007,2651.5587471995595,951
1736319300,2652.385,2652.595,2651.94,2652.265,2650.6475297973643,2651.6999977596474,892
1736319600,2652.275,2652.675,2651.915,2652.465,2650.8127543612404,2651.852998207718,1049
1736319900,2652.475,2653.87,2652.32,2653.77,2651.081594873855,2652.2363985661746,1210
1736320200,2653.785,2654.515,2653.075,2653.815,2651.330086248959,2652.5521188529397,894
1736320500,2653.81,2654.155,2653.06,2653.1,2651.4909874990535,2652.661695082352,1008
1736320800,2653.105,2653.53,2652.665,2653.165,2651.643170453685,2652.7623560658812,776
1736321100,2653.095,2653.23,2652.35,2652.96,2651.762882230623,2652.801884852705,610
1736321400,2652.965,2653.33,2652.4,2653.27,2651.89989293693,2652.895507882164,782
1736321700,2653.255,2653.725,2652.73,2653.27,2652.0244481244818,2652.970406305731,733
1736322000,2653.35,2653.48,2651.73,2651.96,2652.0185892040745,2652.768325044585,958
1736322300,2651.945,2652.405,2651.675,2652.025,2652.019172003704,2652.619660035668,1193
1736322600,2652.04,2652.31,2651.67,2651.955,2652.0133381851856,2652.4867280285343,795
1736322900,2651.94,2652.84,2651.88,2652.69,2652.0748528956233,2652.5273824228275,698
1736323200,2652.745,2653.03,2651.095,2651.47,2652.0198662687485,2652.315905938262,1664
1736323500,2651.465,2651.87,2650.515,2650.785,2651.9076056988624,2652.0097247506096,1448
1736323800,2650.78,2651.755,2650.765,2651.255,2651.848277908057,2651.858779800488,1091
1736324100,2651.26,2652.025,2650.66,2651.905,2651.8534344618697,2651.8680238403904,1130
1736324400,2651.915,2652.66,2650.78,2651.365,2651.8090313289727,2651.7674190723124,1253
